Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
30-Sep-2011,South Eastern,Oral Surgery,Acute Services,18,21,11,3,--,--,--,--,4,3,60,
30-Sep-2011,South Eastern,Plastic Surgery,Acute Services,44,26,36,13,--,--,--,--,28,273,420,
30-Sep-2011,South Eastern,General Medicine,Acute Services,18,7,5,0,--,--,--,--,0,0,30,
30-Sep-2011,South Eastern,Paediatrics,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
30-Sep-2011,South Eastern,Gynaecology,Acute Services,100,62,47,29,--,--,--,--,60,63,361,
30-Sep-2011,Southern,General Surgery,Acute Services,164,111,112,28,--,--,--,--,49,3,467,
30-Sep-2011,Southern,Urology,Acute Services,77,66,77,22,--,--,--,--,81,77,400,
30-Sep-2011,Southern,T & O Surgery,Acute Services,105,69,93,42,--,--,--,--,158,29,496,
30-Sep-2011,Southern,ENT,Acute Services,154,113,7,0,--,--,--,--,0,0,274,
30-Sep-2011,Southern,Ophthalmology,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
30-Sep-2011,Southern,Gastroenterology,Acute Services,5,0,0,0,--,--,--,--,1,0,6,
30-Sep-2011,Southern,Haematology (Clinical),Acute Services,1,0,0,0,--,--,--,--,0,0,1,
30-Sep-2011,Southern,Cardiology,Acute Services,1,6,0,0,--,--,--,--,0,0,7,
30-Sep-2011,Southern,Rheumatology,Acute Services,0,1,1,0,--,--,--,--,0,0,2,
30-Sep-2011,Southern,Gynaecology,Acute Services,118,87,12,0,--,--,--,--,0,0,217,
30-Sep-2011,Western,General Surgery,Acute Services,152,113,151,59,--,--,--,--,107,60,642,
30-Sep-2011,Western,Urology,Acute Services,41,28,17,8,--,--,--,--,23,71,188,
30-Sep-2011,Western,T & O Surgery,Acute Services,193,182,214,113,--,--,--,--,210,212,"1,124",
30-Sep-2011,Western,ENT,Acute Services,169,145,115,41,--,--,--,--,27,13,510,
30-Sep-2011,Western,Oral Surgery,Acute Services,57,47,30,14,--,--,--,--,14,1,163,
30-Sep-2011,Western,General Medicine,Acute Services,5,1,1,0,--,--,--,--,0,0,7,
30-Sep-2011,Western,Paediatrics,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
30-Sep-2011,Western,Gynaecology,Acute Services,86,73,68,29,--,--,--,--,15,1,272,
31-Dec-2011,Belfast,General Surgery,Acute Services,338,330,242,105,--,--,--,--,183,180,"1,378",
31-Dec-2011,Belfast,Urology,Acute Services,114,88,55,32,--,--,--,--,41,93,423,
31-Dec-2011,Belfast,T & O Surgery,Acute Services,553,"1,579",955,533,--,--,--,--,940,356,"4,916",
31-Dec-2011,Belfast,ENT,Acute Services,67,185,271,76,--,--,--,--,115,20,734,
31-Dec-2011,Belfast,Ophthalmology,Acute Services,26,21,25,12,--,--,--,--,18,10,112,
31-Dec-2011,Belfast,Oral Surgery,Acute Services,10,11,12,0,--,--,--,--,0,6,39,
31-Dec-2011,Belfast,Neurosurgery,Acute Services,50,48,29,12,--,--,--,--,11,12,162,
31-Dec-2011,Belfast,Plastic Surgery,Acute Services,43,58,43,29,--,--,--,--,58,202,433,
31-Dec-2011,Belfast,Cardiac Surgery,Acute Services,90,96,84,25,--,--,--,--,3,0,298,
31-Dec-2011,Belfast,Paediatric Surgery,Acute Services,16,24,24,11,--,--,--,--,10,1,86,
31-Dec-2011,Belfast,Thoracic Surgery,Acute Services,38,23,16,10,--,--,--,--,26,40,153,
31-Dec-2011,Belfast,Pain Management,Acute Services,1,0,1,0,--,--,--,--,0,0,2,
31-Dec-2011,Belfast,General Medicine,Acute Services,22,4,0,0,--,--,--,--,0,0,26,
31-Dec-2011,Belfast,Gastroenterology,Acute Services,18,10,3,2,--,--,--,--,0,0,33,
31-Dec-2011,Belfast,Endocrinology,Acute Services,14,2,0,0,--,--,--,--,0,0,16,
31-Dec-2011,Belfast,Cardiology,Acute Services,89,90,80,32,--,--,--,--,41,23,355,
31-Dec-2011,Belfast,Dermatology,Acute Services,7,0,1,0,--,--,--,--,0,0,8,
31-Dec-2011,Belfast,Thoracic Medicine,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
31-Dec-2011,Belfast,Nephrology,Acute Services,3,8,0,0,--,--,--,--,0,0,11,
31-Dec-2011,Belfast,Neurology,Acute Services,23,22,17,11,--,--,--,--,16,119,208,
31-Dec-2011,Belfast,Rheumatology,Acute Services,17,1,0,0,--,--,--,--,0,0,18,
31-Dec-2011,Belfast,Paediatrics,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
31-Dec-2011,Belfast,Gynaecology,Acute Services,173,112,104,20,--,--,--,--,4,0,413,
31-Dec-2011,Belfast,Child & Adolescent Psychiatry,Mental Health,1,0,1,0,--,--,--,--,0,1,3,
31-Dec-2011,Belfast,Radiology,Acute Services,3,0,0,0,--,--,--,--,0,0,3,
31-Dec-2011,Northern,General Surgery,Acute Services,107,79,77,37,--,--,--,--,56,98,454,
31-Dec-2011,Northern,Urology,Acute Services,155,121,91,31,--,--,--,--,37,29,464,
31-Dec-2011,Northern,ENT,Acute Services,88,98,52,17,--,--,--,--,5,0,260,
31-Dec-2011,Northern,General Medicine,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
31-Dec-2011,Northern,Gastroenterology,Acute Services,5,5,0,1,--,--,--,--,0,0,11,
31-Dec-2011,Northern,Gynaecology,Acute Services,99,116,100,39,--,--,--,--,63,9,426,
31-Dec-2011,South Eastern,General Surgery,Acute Services,93,62,40,23,--,--,--,--,25,76,319,
31-Dec-2011,South Eastern,Urology,Acute Services,40,28,7,2,--,--,--,--,9,8,94,
31-Dec-2011,South Eastern,T & O Surgery,Acute Services,13,5,0,0,--,--,--,--,0,0,18,
31-Dec-2011,South Eastern,ENT,Acute Services,16,49,52,28,--,--,--,--,49,3,197,
31-Dec-2011,South Eastern,Oral Surgery,Acute Services,15,26,10,11,--,--,--,--,8,1,71,
31-Dec-2011,South Eastern,Plastic Surgery,Acute Services,41,56,37,10,--,--,--,--,30,290,464,
31-Dec-2011,South Eastern,Paediatric Surgery,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
31-Dec-2011,South Eastern,General Medicine,Acute Services,12,10,3,0,--,--,--,--,1,0,26,
31-Dec-2011,South Eastern,Paediatrics,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
31-Dec-2011,South Eastern,Gynaecology,Acute Services,91,85,87,16,--,--,--,--,29,79,387,
31-Dec-2011,Southern,General Surgery,Acute Services,109,138,85,44,--,--,--,--,80,9,465,
31-Dec-2011,Southern,Urology,Acute Services,80,75,72,29,--,--,--,--,62,90,408,
31-Dec-2011,Southern,T & O Surgery,Acute Services,72,98,99,33,--,--,--,--,89,74,465,
31-Dec-2011,Southern,ENT,Acute Services,129,128,9,1,--,--,--,--,0,0,267,
31-Dec-2011,Southern,Ophthalmology,Acute Services,7,0,0,0,--,--,--,--,0,1,8,
31-Dec-2011,Southern,Gastroenterology,Acute Services,6,2,1,0,--,--,--,--,1,1,11,
31-Dec-2011,Southern,Cardiology,Acute Services,3,5,0,0,--,--,--,--,0,0,8,
31-Dec-2011,Southern,Dermatology,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
31-Dec-2011,Southern,Rheumatology,Acute Services,1,2,1,0,--,--,--,--,0,0,4,
31-Dec-2011,Southern,Gynaecology,Acute Services,108,102,30,0,--,--,--,--,0,0,240,
31-Dec-2011,Southern,GP Other,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
31-Dec-2011,Western,General Surgery,Acute Services,171,181,122,67,--,--,--,--,122,122,785,
31-Dec-2011,Western,Urology,Acute Services,44,23,22,4,--,--,--,--,6,18,117,
31-Dec-2011,Western,T & O Surgery,Acute Services,237,288,237,85,--,--,--,--,161,205,"1,213",
31-Dec-2011,Western,ENT,Acute Services,151,126,94,48,--,--,--,--,27,25,471,
31-Dec-2011,Western,Ophthalmology,Acute Services,4,0,0,0,--,--,--,--,0,0,4,
31-Dec-2011,Western,Oral Surgery,Acute Services,44,35,30,13,--,--,--,--,17,5,144,
31-Dec-2011,Western,General Medicine,Acute Services,1,2,1,0,--,--,--,--,0,0,4,
31-Dec-2011,Western,Paediatrics,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
31-Dec-2011,Western,Gynaecology,Acute Services,71,117,63,18,--,--,--,--,36,2,307,
31-Dec-2011,Western,GP Other,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
31-Mar-2012,Belfast,Cardiac Surgery,Acute Services,118,116,42,15,--,--,--,--,3,0,294,
31-Mar-2012,Belfast,Cardiology,Acute Services,81,92,67,31,--,--,--,--,63,1,335,
31-Mar-2012,Belfast,Dermatology,Acute Services,11,3,0,0,--,--,--,--,0,0,14,
31-Mar-2012,Belfast,Endocrinology,Acute Services,13,8,0,0,--,--,--,--,0,0,21,
31-Mar-2012,Belfast,ENT,Acute Services,121,185,191,105,--,--,--,--,85,3,690,
31-Mar-2012,Belfast,Forensic Psychiatry,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
31-Mar-2012,Belfast,Gastroenterology,Acute Services,10,3,0,0,--,--,--,--,0,0,13,
31-Mar-2012,Belfast,General Medicine,Acute Services,21,3,0,0,--,--,--,--,0,0,24,
31-Mar-2012,Belfast,General Surgery,Acute Services,283,252,219,123,--,--,--,--,143,77,"1,097",
31-Mar-2012,Belfast,Gynaecology,Acute Services,95,145,130,22,--,--,--,--,14,0,406,
31-Mar-2012,Belfast,Nephrology,Acute Services,21,12,0,0,--,--,--,--,0,0,33,
31-Mar-2012,Belfast,Neurology,Acute Services,19,24,14,13,--,--,--,--,20,113,203,
31-Mar-2012,Belfast,Neurosurgery,Acute Services,70,57,30,12,--,--,--,--,15,11,195,
31-Mar-2012,Belfast,Ophthalmology,Acute Services,13,26,14,10,--,--,--,--,8,0,71,
31-Mar-2012,Belfast,Oral Surgery,Acute Services,8,3,3,0,--,--,--,--,2,0,16,
31-Mar-2012,Belfast,Paediatric Dentistry,Acute Services,0,2,0,0,--,--,--,--,0,0,2,
31-Mar-2012,Belfast,Paediatric Surgery,Acute Services,5,19,17,14,--,--,--,--,20,0,75,
31-Mar-2012,Belfast,Paediatrics,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
31-Mar-2012,Belfast,Pain Management,Acute Services,0,1,0,0,--,--,--,--,95,0,96,
31-Mar-2012,Belfast,Plastic Surgery,Acute Services,42,53,56,22,--,--,--,--,47,24,244,
31-Mar-2012,Belfast,Restorative Dentistry,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
31-Mar-2012,Belfast,Rheumatology,Acute Services,7,5,0,0,--,--,--,--,0,0,12,
31-Mar-2012,Belfast,T & O Surgery,Acute Services,697,"1,285","1,351",692,--,--,--,--,443,13,"4,481",
31-Mar-2012,Belfast,Thoracic Medicine,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
31-Mar-2012,Belfast,Thoracic Surgery,Acute Services,42,31,19,4,--,--,--,--,16,35,147,
31-Mar-2012,Belfast,Urology,Acute Services,116,73,50,29,--,--,--,--,154,135,557,
31-Mar-2012,Northern,Dermatology,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
31-Mar-2012,Northern,ENT,Acute Services,127,106,33,0,--,--,--,--,0,0,266,
31-Mar-2012,Northern,Gastroenterology,Acute Services,5,5,0,0,--,--,--,--,0,0,10,
31-Mar-2012,Northern,General Surgery,Acute Services,104,128,51,33,--,--,--,--,50,1,367,
31-Mar-2012,Northern,Gynaecology,Acute Services,183,154,93,30,--,--,--,--,0,0,460,
31-Mar-2012,Northern,Urology,Acute Services,107,100,110,21,--,--,--,--,38,0,376,
31-Mar-2012,South Eastern,Cardiology,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
31-Mar-2012,South Eastern,ENT,Acute Services,36,54,50,0,--,--,--,--,0,0,140,
31-Mar-2012,South Eastern,General Medicine,Acute Services,14,4,0,0,--,--,--,--,0,0,18,
31-Mar-2012,South Eastern,General Surgery,Acute Services,89,76,48,19,--,--,--,--,27,0,259,
31-Mar-2012,South Eastern,Gynaecology,Acute Services,93,73,73,22,--,--,--,--,41,0,302,
31-Mar-2012,South Eastern,Oral Surgery,Acute Services,18,20,16,4,--,--,--,--,0,0,58,
31-Mar-2012,South Eastern,Plastic Surgery,Acute Services,65,41,33,26,--,--,--,--,20,0,185,
31-Mar-2012,South Eastern,T & O Surgery,Acute Services,10,6,0,0,--,--,--,--,0,0,16,
31-Mar-2012,South Eastern,Urology,Acute Services,43,14,10,9,--,--,--,--,2,0,78,
31-Mar-2012,Southern,Cardiology,Acute Services,3,2,3,4,--,--,--,--,0,0,12,
31-Mar-2012,Southern,ENT,Acute Services,186,142,0,0,--,--,--,--,0,0,328,
31-Mar-2012,Southern,Gastroenterology,Acute Services,6,2,0,0,--,--,--,--,0,0,8,
31-Mar-2012,Southern,General Surgery,Acute Services,115,89,80,53,--,--,--,--,63,0,400,
31-Mar-2012,Southern,Gynaecology,Acute Services,114,146,19,2,--,--,--,--,0,0,281,
31-Mar-2012,Southern,Ophthalmology,Acute Services,1,3,0,0,--,--,--,--,0,0,4,
31-Mar-2012,Southern,Rheumatology,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
31-Mar-2012,Southern,T & O Surgery,Acute Services,110,105,83,45,--,--,--,--,56,1,400,
31-Mar-2012,Southern,Urology,Acute Services,87,109,67,38,--,--,--,--,58,9,368,
31-Mar-2012,Western,ENT,Acute Services,186,171,115,23,--,--,--,--,38,0,533,
31-Mar-2012,Western,General Medicine,Acute Services,6,2,0,0,--,--,--,--,0,0,8,
31-Mar-2012,Western,General Surgery,Acute Services,144,129,147,105,--,--,--,--,113,0,638,
31-Mar-2012,Western,Gynaecology,Acute Services,82,128,66,30,--,--,--,--,16,0,322,
31-Mar-2012,Western,Ophthalmology,Acute Services,0,0,2,0,--,--,--,--,0,0,2,
31-Mar-2012,Western,Oral Surgery,Acute Services,44,46,27,8,--,--,--,--,0,0,125,
31-Mar-2012,Western,Paediatrics,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
31-Mar-2012,Western,Pain Management,Acute Services,1,1,0,0,--,--,--,--,0,0,2,
31-Mar-2012,Western,T & O Surgery,Acute Services,170,221,259,176,--,--,--,--,241,2,"1,069",
31-Mar-2012,Western,Urology,Acute Services,68,36,27,4,--,--,--,--,12,0,147,
30-Jun-2012,Belfast,General Surgery,Acute Services,271,194,200,103,--,74,--,68,--,50,960,
30-Jun-2012,Belfast,Urology,Acute Services,122,72,61,28,--,9,--,32,--,58,382,
30-Jun-2012,Belfast,T & O Surgery,Acute Services,627,1155,1258,673,--,367,--,568,--,208,4856,
30-Jun-2012,Belfast,ENT,Acute Services,137,132,157,118,--,47,--,40,--,11,642,
30-Jun-2012,Belfast,Ophthalmology,Acute Services,15,20,39,16,--,8,--,5,--,4,107,
30-Jun-2012,Belfast,Oral Surgery,Acute Services,11,3,0,0,--,0,--,0,--,0,14,
30-Jun-2012,Belfast,Restorative Dentistry,Acute Services,11,2,3,0,--,0,--,0,--,0,16,
30-Jun-2012,Belfast,Paediatric Dentistry,Acute Services,0,0,1,0,--,0,--,0,--,0,1,
30-Jun-2012,Belfast,Neurosurgery,Acute Services,47,67,44,14,--,3,--,7,--,25,207,
30-Jun-2012,Belfast,Plastic Surgery,Acute Services,46,48,47,36,--,21,--,29,--,27,254,
30-Jun-2012,Belfast,Cardiac Surgery,Acute Services,106,100,69,22,--,0,--,2,--,1,300,
30-Jun-2012,Belfast,Paediatric Surgery,Acute Services,15,17,18,7,--,4,--,15,--,14,90,
30-Jun-2012,Belfast,Thoracic Surgery,Acute Services,50,26,19,7,--,4,--,4,--,38,148,
30-Jun-2012,Belfast,General Medicine,Acute Services,16,7,0,0,--,0,--,0,--,0,23,
30-Jun-2012,Belfast,Gastroenterology,Acute Services,10,0,0,0,--,0,--,0,--,0,10,
30-Jun-2012,Belfast,Endocrinology,Acute Services,7,2,0,0,--,0,--,0,--,0,9,
30-Jun-2012,Belfast,Cardiology,Acute Services,97,92,101,45,--,22,--,23,--,30,410,
30-Jun-2012,Belfast,Dermatology,Acute Services,17,0,0,0,--,0,--,0,--,0,17,
30-Jun-2012,Belfast,Thoracic Medicine,Acute Services,2,0,0,0,--,0,--,0,--,0,2,
30-Jun-2012,Belfast,Nephrology,Acute Services,21,8,1,0,--,0,--,0,--,0,30,
30-Jun-2012,Belfast,Neurology,Acute Services,19,23,14,10,--,6,--,7,--,111,190,
30-Jun-2012,Belfast,Rheumatology,Acute Services,6,0,0,0,--,0,--,0,--,0,6,
30-Jun-2012,Belfast,Paediatrics,Acute Services,0,1,3,0,--,0,--,0,--,0,4,
30-Jun-2012,Belfast,Gynaecology,Acute Services,136,116,112,47,--,18,--,17,--,3,449,
30-Jun-2012,Belfast,Child & Adolescent Psychiatry,Mental Health,2,1,0,0,--,0,--,0,--,0,3,
30-Jun-2012,Northern,General Surgery,Acute Services,110,69,54,35,--,9,--,11,--,18,306,
30-Jun-2012,Northern,Urology,Acute Services,115,91,76,57,--,25,--,27,--,22,413,
30-Jun-2012,Northern,ENT,Acute Services,123,114,47,13,--,0,--,0,--,0,297,
30-Jun-2012,Northern,Ophthalmology,Acute Services,2,0,3,2,--,0,--,0,--,0,7,
30-Jun-2012,Northern,Gastroenterology,Acute Services,5,4,1,0,--,0,--,0,--,0,10,
30-Jun-2012,Northern,Dermatology,Acute Services,0,0,0,1,--,0,--,0,--,0,1,
30-Jun-2012,Northern,Gynaecology,Acute Services,135,138,161,43,--,9,--,8,--,1,495,
30-Jun-2012,Northern,GP Other,Acute Services,0,1,0,0,--,0,--,0,--,0,1,
30-Jun-2012,South Eastern,General Surgery,Acute Services,93,66,33,10,--,5,--,7,--,0,214,
30-Jun-2012,South Eastern,Urology,Acute Services,26,22,11,3,--,0,--,2,--,0,64,
30-Jun-2012,South Eastern,T & O Surgery,Acute Services,9,7,1,0,--,0,--,0,--,0,17,
30-Jun-2012,South Eastern,ENT,Acute Services,26,71,37,1,--,0,--,0,--,0,135,
30-Jun-2012,South Eastern,Ophthalmology,Acute Services,2,0,0,0,--,0,--,0,--,0,2,
30-Jun-2012,South Eastern,Oral Surgery,Acute Services,18,15,7,0,--,0,--,0,--,0,40,
30-Jun-2012,South Eastern,Plastic Surgery,Acute Services,44,40,83,33,--,16,--,14,--,0,230,
30-Jun-2012,South Eastern,General Medicine,Acute Services,12,3,0,0,--,0,--,0,--,0,15,
30-Jun-2012,South Eastern,Gynaecology,Acute Services,94,132,72,19,--,15,--,16,--,22,370,
30-Jun-2012,Southern,General Surgery,Acute Services,132,80,52,37,--,26,--,37,--,27,391,
30-Jun-2012,Southern,Urology,Acute Services,81,63,89,43,--,19,--,31,--,48,374,
30-Jun-2012,Southern,T & O Surgery,Acute Services,72,81,103,57,--,28,--,45,--,35,421,
30-Jun-2012,Southern,ENT,Acute Services,131,138,96,6,--,0,--,0,--,0,371,
30-Jun-2012,Southern,Ophthalmology,Acute Services,0,4,1,0,--,0,--,0,--,0,5,
30-Jun-2012,Southern,General Medicine,Acute Services,0,1,0,0,--,0,--,0,--,0,1,
30-Jun-2012,Southern,Gastroenterology,Acute Services,5,1,0,0,--,0,--,0,--,0,6,
30-Jun-2012,Southern,Cardiology,Acute Services,0,2,3,0,--,1,--,4,--,0,10,
30-Jun-2012,Southern,Rheumatology,Acute Services,0,0,3,0,--,0,--,0,--,0,3,
30-Jun-2012,Southern,Gynaecology,Acute Services,145,107,64,14,--,0,--,0,--,0,330,
30-Jun-2012,Western,General Surgery,Acute Services,132,119,127,71,--,61,--,97,--,130,737,
30-Jun-2012,Western,Urology,Acute Services,64,30,31,7,--,11,--,5,--,1,149,
30-Jun-2012,Western,T & O Surgery,Acute Services,167,158,212,122,--,93,--,147,--,168,1067,
30-Jun-2012,Western,ENT,Acute Services,209,173,155,37,--,8,--,10,--,3,595,
30-Jun-2012,Western,Ophthalmology,Acute Services,1,0,2,0,--,2,--,0,--,0,5,
30-Jun-2012,Western,Oral Surgery,Acute Services,36,31,26,18,--,1,--,2,--,0,114,
30-Jun-2012,Western,General Medicine,Acute Services,2,1,1,0,--,0,--,0,--,0,4,
30-Jun-2012,Western,Paediatrics,Acute Services,6,0,0,0,--,0,--,0,--,0,6,
30-Jun-2012,Western,Gynaecology,Acute Services,71,102,68,52,--,20,--,17,--,2,332,
30-Sep-2012,Belfast,General Surgery,Acute Services,280,198,216,102,--,56,--,103,--,83,"1,038",
30-Sep-2012,Belfast,Urology,Acute Services,129,77,78,25,--,27,--,22,--,88,446,
30-Sep-2012,Belfast,T & O Surgery,Acute Services,600,"1,200","1,318",623,--,475,--,557,--,303,"5,076",
30-Sep-2012,Belfast,ENT,Acute Services,135,172,155,74,--,56,--,67,--,23,682,
30-Sep-2012,Belfast,Ophthalmology,Acute Services,24,29,18,7,--,12,--,14,--,1,105,
30-Sep-2012,Belfast,Oral Surgery,Acute Services,17,11,0,0,--,0,--,0,--,0,28,
30-Sep-2012,Belfast,Restorative Dentistry,Acute Services,8,2,3,0,--,2,--,6,--,0,21,
30-Sep-2012,Belfast,Paediatric Dentistry,Acute Services,2,1,0,0,--,0,--,0,--,0,3,
30-Sep-2012,Belfast,Neurosurgery,Acute Services,41,46,24,20,--,5,--,10,--,14,160,
30-Sep-2012,Belfast,Plastic Surgery,Acute Services,41,58,36,7,--,3,--,14,--,61,220,
30-Sep-2012,Belfast,Cardiac Surgery,Acute Services,101,78,69,18,--,4,--,0,--,1,271,
30-Sep-2012,Belfast,Paediatric Surgery,Acute Services,13,22,19,9,--,6,--,11,--,7,87,
30-Sep-2012,Belfast,Thoracic Surgery,Acute Services,38,18,9,10,--,7,--,4,--,22,108,
30-Sep-2012,Belfast,General Medicine,Acute Services,5,3,2,0,--,0,--,0,--,0,10,
30-Sep-2012,Belfast,Gastroenterology,Acute Services,26,6,1,0,--,0,--,0,--,0,33,
30-Sep-2012,Belfast,Endocrinology,Acute Services,8,3,1,0,--,0,--,0,--,0,12,
30-Sep-2012,Belfast,Cardiology,Acute Services,102,115,76,38,--,37,--,26,--,37,431,
30-Sep-2012,Belfast,Dermatology,Acute Services,3,5,4,0,--,0,--,0,--,0,12,
30-Sep-2012,Belfast,Thoracic Medicine,Acute Services,8,0,0,0,--,0,--,0,--,0,8,
30-Sep-2012,Belfast,Nephrology,Acute Services,12,7,2,0,--,0,--,0,--,0,21,
30-Sep-2012,Belfast,Neurology,Acute Services,27,23,17,13,--,4,--,12,--,97,193,
30-Sep-2012,Belfast,Rheumatology,Acute Services,15,4,0,0,--,0,--,0,--,0,19,
30-Sep-2012,Belfast,Paediatrics,Acute Services,0,0,1,0,--,0,--,1,--,0,2,
30-Sep-2012,Belfast,Gynaecology,Acute Services,138,92,141,47,--,24,--,35,--,10,487,
30-Sep-2012,Belfast,Forensic Psychiatry,Mental Health,1,0,0,0,--,0,--,0,--,0,1,
30-Sep-2012,Belfast,Radiology,Acute Services,1,1,1,0,--,0,--,0,--,0,3,
30-Sep-2012,Northern,General Surgery,Acute Services,91,61,37,18,--,6,--,7,--,3,223,
30-Sep-2012,Northern,Urology,Acute Services,165,115,75,33,--,0,--,8,--,4,400,
30-Sep-2012,Northern,ENT,Acute Services,142,99,27,4,--,1,--,4,--,0,277,
30-Sep-2012,Northern,Ophthalmology,Acute Services,0,1,0,0,--,0,--,1,--,0,2,
30-Sep-2012,Northern,Gastroenterology,Acute Services,11,2,1,0,--,0,--,0,--,0,14,
30-Sep-2012,Northern,Cardiology,Acute Services,1,0,0,0,--,0,--,0,--,0,1,
30-Sep-2012,Northern,Gynaecology,Acute Services,101,124,119,60,--,35,--,19,--,0,458,
30-Sep-2012,South Eastern,General Surgery,Acute Services,99,41,12,0,--,0,--,0,--,0,152,
30-Sep-2012,South Eastern,Urology,Acute Services,50,21,12,8,--,1,--,0,--,0,92,
30-Sep-2012,South Eastern,T & O Surgery,Acute Services,9,6,0,0,--,0,--,0,--,0,15,
30-Sep-2012,South Eastern,ENT,Acute Services,9,37,48,0,--,0,--,0,--,0,94,
30-Sep-2012,South Eastern,Oral Surgery,Acute Services,22,18,8,0,--,0,--,0,--,0,48,
30-Sep-2012,South Eastern,Plastic Surgery,Acute Services,62,27,28,0,--,0,--,0,--,0,117,
30-Sep-2012,South Eastern,General Medicine,Acute Services,3,3,0,0,--,0,--,0,--,0,6,
30-Sep-2012,South Eastern,Gynaecology,Acute Services,89,75,102,62,--,28,--,16,--,27,399,
30-Sep-2012,Southern,General Surgery,Acute Services,121,64,60,31,--,16,--,20,--,1,313,
30-Sep-2012,Southern,Urology,Acute Services,80,79,58,29,--,28,--,53,--,77,404,
30-Sep-2012,Southern,T & O Surgery,Acute Services,69,65,74,46,--,43,--,52,--,29,378,
30-Sep-2012,Southern,ENT,Acute Services,136,155,46,4,--,0,--,0,--,0,341,
30-Sep-2012,Southern,Ophthalmology,Acute Services,1,0,1,4,--,0,--,0,--,0,6,
30-Sep-2012,Southern,Gastroenterology,Acute Services,4,0,0,0,--,0,--,0,--,0,4,
30-Sep-2012,Southern,Cardiology,Acute Services,2,4,0,1,--,2,--,1,--,0,10,
30-Sep-2012,Southern,Thoracic Medicine,Acute Services,2,1,0,0,--,0,--,0,--,0,3,
30-Sep-2012,Southern,Rheumatology,Acute Services,0,1,0,0,--,0,--,0,--,0,1,
30-Sep-2012,Southern,Gynaecology,Acute Services,107,111,72,13,--,3,--,0,--,0,306,
30-Sep-2012,Western,General Surgery,Acute Services,143,71,129,60,--,50,--,35,--,68,556,
30-Sep-2012,Western,Urology,Acute Services,49,45,30,9,--,0,--,0,--,0,133,
30-Sep-2012,Western,T & O Surgery,Acute Services,158,147,182,86,--,86,--,122,--,64,845,
30-Sep-2012,Western,ENT,Acute Services,178,131,181,70,--,40,--,0,--,0,600,
30-Sep-2012,Western,Ophthalmology,Acute Services,1,1,0,0,--,0,--,0,--,0,2,
30-Sep-2012,Western,Oral Surgery,Acute Services,33,26,21,12,--,0,--,0,--,0,92,
30-Sep-2012,Western,General Medicine,Acute Services,7,0,0,0,--,0,--,0,--,0,7,
30-Sep-2012,Western,Cardiology,Acute Services,0,1,0,0,--,0,--,0,--,0,1,
30-Sep-2012,Western,Paediatrics,Acute Services,1,0,0,0,--,0,--,0,--,0,1,
30-Sep-2012,Western,Gynaecology,Acute Services,100,79,59,43,--,21,--,15,--,3,320,
31-Dec-2012,Belfast,General Surgery,Acute Services,227,204,168,79,--,59,--,82,--,106,925,
31-Dec-2012,Belfast,Urology,Acute Services,126,95,77,30,--,27,--,43,--,97,495,
31-Dec-2012,Belfast,T & O Surgery,Acute Services,"1,296","1,356","1,133",536,--,379,--,276,--,149,"5,125",
31-Dec-2012,Belfast,ENT,Acute Services,170,224,187,99,--,63,--,58,--,27,828,
31-Dec-2012,Belfast,Ophthalmology,Acute Services,29,30,19,14,--,4,--,7,--,7,110,
31-Dec-2012,Belfast,Oral Surgery,Acute Services,9,3,0,0,--,0,--,0,--,0,12,
31-Dec-2012,Belfast,Restorative Dentistry,Acute Services,3,12,5,0,--,0,--,0,--,0,20,
31-Dec-2012,Belfast,Paediatric Dentistry,Acute Services,10,5,2,1,--,0,--,0,--,0,18,
31-Dec-2012,Belfast,Neurosurgery,Acute Services,51,42,14,8,--,4,--,5,--,10,134,
31-Dec-2012,Belfast,Plastic Surgery,Acute Services,28,39,34,22,--,14,--,10,--,33,180,
31-Dec-2012,Belfast,Cardiac Surgery,Acute Services,90,93,68,18,--,9,--,9,--,1,288,
31-Dec-2012,Belfast,Paediatric Surgery,Acute Services,16,23,18,17,--,11,--,9,--,7,101,
